"Unidade Gestora / Conta Corrente";"Conta 721110101 (A)";"Contas 82114 (B)";"Contas 82115 (C)";"Diferença = (A) - (B) - (C) "
"999900";496815291357,04;318635272800,83;159560289171,91;18619729384,3
"   1.5.00.100.0.000000";215210307505,41;108490082675,5;110103589225,45;-3383364395,54
"   1.5.00.100.1.000001";0;0;1693,54;-1693,54
"   1.5.00.100.1.002017";0;0;87213311,43;-87213311,43
"   1.5.00.100.1.007017";0;0;7848;-7848
"   1.5.00.100.1.007526";0;24655036,74;0;-24655036,74
"   1.5.00.100.1.047928";11630,61;20584906,4;11630,61;-20584906,4
"   1.5.00.100.1.202342";16986644,06;16986644,06;0;0
"   1.5.00.100.1.705582";0;129726,3;0;-129726,3
"   1.5.00.100.1.990025";0;0;5760200;-5760200
"   1.5.00.100.2.003953";10123,43;0;10123,43;0
"   1.5.00.100.2.003954";62736,96;0;62736,96;0
"   1.5.00.100.2.003967";17488,08;0;17488,08;0
"   1.5.00.100.2.003970";571348,48;0;553446,44;17902,04
"   1.5.00.100.2.004179";163,2;0;0;163,2
"   1.5.00.100.2.004202";27678,19;0;0;27678,19
"   1.5.00.100.2.004254";136066,04;0;0;136066,04
"   1.5.00.100.2.004528";14996,6;0;0;14996,6
"   1.5.00.100.2.004529";10320,95;0;0;10320,95
"   1.5.00.100.2.004530";28887,56;0;0;28887,56
"   1.5.00.100.2.004612";4042,13;0;0;4042,13
"   1.5.00.100.2.004700";323,45;0;0;323,45
"   1.5.00.100.2.004840";116,28;0;0;116,28
"   1.5.00.100.2.004841";241922,97;0;0;241922,97
"   1.5.00.100.2.004844";1148,77;0;0;1148,77
"   1.5.00.100.2.004961";82919,67;0;0;82919,67
"   1.5.00.100.2.005003";518805,88;0;0;518805,88
"   1.5.00.100.2.005016";144000;0;0;144000
"   1.5.00.100.2.005041";298155,38;0;149077,69;149077,69
"   1.5.00.100.2.005049";105;0;105;0
"   1.5.00.100.2.005109";969271,17;0;0;969271,17
"   1.5.00.100.2.005126";19009;0;0;19009
"   1.5.00.100.2.005475";7636,52;0;0;7636,52
"   1.5.00.100.2.005545";34130;0;0;34130
"   1.5.00.100.2.005592";237167,28;0;0;237167,28
"   1.5.00.100.2.005673";15,01;0;0;15,01
"   1.5.00.100.2.005679";118770,3;0;0;118770,3
"   1.5.00.100.2.005707";710120,69;0;0;710120,69
"   1.5.00.100.2.005753";137102,36;0;0;137102,36
"   1.5.00.100.2.006013";13237,25;0;0;13237,25
"   1.5.00.100.2.006056";0;0;393781,56;-393781,56
"   1.5.00.100.2.006090";94270,76;0;0;94270,76
"   1.5.00.100.2.006165";18944,52;0;0;18944,52
"   1.5.00.100.2.006193";8540,58;0;0;8540,58
"   1.5.00.100.2.006218";150080,4;0;150080,4;0
"   1.5.00.100.2.006222";505,03;0;0;505,03
"   1.5.00.100.2.006349";20772,13;0;0;20772,13
"   1.5.00.100.2.006429";1417,35;0;0;1417,35
"   1.5.00.100.2.006520";6643,03;0;0;6643,03
"   1.5.00.100.2.006566";67502,65;0;0;67502,65
"   1.5.00.100.2.006569";0;0;216458,29;-216458,29
"   1.5.00.100.2.006623";735662,4;0;740100,27;-4437,87
"   1.5.00.100.2.006710";0;0;790560,06;-790560,06
"   1.5.00.100.2.006817";42022,96;0;0;42022,96
"   1.5.00.100.2.006830";70033,2;0;0;70033,2
"   1.5.00.100.2.006999";61470,12;0;0;61470,12
"   1.5.00.100.2.007000";44750;0;0;44750
"   1.5.00.100.2.007002";41760;0;41760;0
"   1.5.00.100.2.007017";3710;0;13529,33;-9819,33
"   1.5.00.100.2.007094";0;0;59462,88;-59462,88
"   1.5.00.100.2.007095";0;0;42000;-42000
"   1.5.00.100.2.007097";0;0;60149,56;-60149,56
"   1.5.00.100.2.007098";0;0;235000;-235000
"   1.5.00.100.2.007099";0;0;63000;-63000
"   1.5.00.100.2.007100";0;0;424363,75;-424363,75
"   1.5.00.100.2.007101";0;0;49200;-49200
"   1.5.00.100.2.007102";0;0;21717;-21717
"   1.5.00.100.2.007103";0;0;76496,6;-76496,6
"   1.5.00.100.2.007108";0;0;69765,15;-69765,15
"   1.5.00.100.2.007109";0;0;17392,5;-17392,5
"   1.5.00.100.2.007110";0;0;38251,8;-38251,8
"   1.5.00.100.2.007111";0;0;79686,72;-79686,72
"   1.5.00.100.2.007112";0;0;30000;-30000
"   1.5.00.100.2.007114";0;0;31999,91;-31999,91
"   1.5.00.100.2.007116";0;0;199023,11;-199023,11
"   1.5.00.100.2.007118";0;0;57041,74;-57041,74
"   1.5.00.100.2.007119";0;0;118329,02;-118329,02
"   1.5.00.100.2.007121";0;0;81411,99;-81411,99
"   1.5.00.100.2.007123";0;0;18769,18;-18769,18
"   1.5.00.100.2.007124";0;0;234486,45;-234486,45
"   1.5.00.100.2.007125";0;0;31200;-31200
"   1.5.00.100.2.007127";0;0;102049,98;-102049,98
"   1.5.00.100.2.007130";0;0;101426,4;-101426,4
"   1.5.00.100.2.007131";0;0;81376,65;-81376,65
"   1.5.00.100.2.007132";0;0;239394,05;-239394,05
"   1.5.00.100.2.007133";0;0;50762,06;-50762,06
"   1.5.00.100.2.007134";0;0;98308,62;-98308,62
"   1.5.00.100.2.007136";0;0;31173;-31173
"   1.5.00.100.2.007137";0;0;52956;-52956
"   1.5.00.100.2.007139";0;0;24000;-24000
"   1.5.00.100.2.007140";0;0;68764,77;-68764,77
"   1.5.00.100.2.007141";0;0;39531,9;-39531,9
"   1.5.00.100.2.007143";0;0;24646,75;-24646,75
"   1.5.00.100.2.007144";0;0;69444,65;-69444,65
"   1.5.00.100.2.007145";0;0;105642,05;-105642,05
"   1.5.00.100.2.007146";0;0;63600;-63600
"   1.5.00.100.2.007147";0;0;242400;-242400
"   1.5.00.100.2.007148";0;0;157316,91;-157316,91
"   1.5.00.100.2.007151";0;0;46500;-46500
"   1.5.00.100.2.007152";0;0;715142,54;-715142,54
"   1.5.00.100.2.007154";0;0;60000;-60000
"   1.5.00.100.2.007155";0;0;89297,92;-89297,92
"   1.5.00.100.2.007156";0;0;179394,75;-179394,75
"   1.5.00.100.2.007158";0;0;139582,64;-139582,64
"   1.5.00.100.2.007160";0;0;120000;-120000
"   1.5.00.100.2.007161";0;0;97243,19;-97243,19
"   1.5.00.100.2.007162";0;0;107477,05;-107477,05
"   1.5.00.100.2.007164";0;0;59998,71;-59998,71
"   1.5.00.100.2.007165";0;0;59214,68;-59214,68
"   1.5.00.100.2.007166";0;0;15948,35;-15948,35
"   1.5.00.100.2.007167";0;0;94859,62;-94859,62
"   1.5.00.100.2.007168";0;0;103473,72;-103473,72
"   1.5.00.100.2.007169";0;0;100000;-100000
"   1.5.00.100.2.007171";66951,36;0;0;66951,36
"   1.5.00.100.2.007172";314575,36;0;750,76;313824,6
"   1.5.00.100.2.007173";200793,38;0;0;200793,38
"   1.5.00.100.2.007176";0;0;57599,91;-57599,91
"   1.5.00.100.2.007177";0;0;60763,2;-60763,2
"   1.5.00.100.2.007178";0;0;107822,85;-107822,85
"   1.5.00.100.2.007179";0;0;64000;-64000
"   1.5.00.100.2.007180";0;0;141843,33;-141843,33
"   1.5.00.100.2.007183";0;0;133762,96;-133762,96
"   1.5.00.100.2.007185";0;0;52744,3;-52744,3
"   1.5.00.100.2.007186";0;0;71854,47;-71854,47
"   1.5.00.100.2.007187";0;0;99448,4;-99448,4
"   1.5.00.100.2.007188";0;0;121291,52;-121291,52
"   1.5.00.100.2.007189";0;0;114317,7;-114317,7
"   1.5.00.100.2.007190";0;0;102225,25;-102225,25
"   1.5.00.100.2.007193";0;0;238754,79;-238754,79
"   1.5.00.100.2.007194";0;0;90000;-90000
"   1.5.00.100.2.007195";0;0;72000;-72000
"   1.5.00.100.2.007199";0;0;72000;-72000
"   1.5.00.100.2.007201";0;0;92715,72;-92715,72
"   1.5.00.100.2.007204";0;0;57187,5;-57187,5
"   1.5.00.100.2.007205";0;0;126645,2;-126645,2
"   1.5.00.100.2.007206";0;0;399547,44;-399547,44
"   1.5.00.100.2.007208";0;0;82306,07;-82306,07
"   1.5.00.100.2.007211";0;0;113050;-113050
"   1.5.00.100.2.007212";0;0;160000;-160000
"   1.5.00.100.2.007213";0;0;125731,5;-125731,5
"   1.5.00.100.2.007215";0;0;31156;-31156
"   1.5.00.100.2.007216";0;0;82092,48;-82092,48
"   1.5.00.100.2.007217";0;0;60000;-60000
"   1.5.00.100.2.007218";0;0;162789,5;-162789,5
"   1.5.00.100.2.007219";0;0;93009,75;-93009,75
"   1.5.00.100.2.007220";0;0;139935;-139935
"   1.5.00.100.2.007221";0;0;132151,26;-132151,26
"   1.5.00.100.2.007222";0;0;60000;-60000
"   1.5.00.100.2.007223";0;0;51451,81;-51451,81
"   1.5.00.100.2.007225";0;0;242814;-242814
"   1.5.00.100.2.007226";0;0;775528,8;-775528,8
"   1.5.00.100.2.007230";0;0;160137,44;-160137,44
"   1.5.00.100.2.007233";0;0;92335,2;-92335,2
"   1.5.00.100.2.007234";24447,06;0;128902,3;-104455,24
"   1.5.00.100.2.007235";0;0;15360;-15360
"   1.5.00.100.2.007236";0;0;104602,21;-104602,21
"   1.5.00.100.2.007237";0;0;60000;-60000
"   1.5.00.100.2.007241";0;0;23830,66;-23830,66
"   1.5.00.100.2.007242";0;0;130866,8;-130866,8
"   1.5.00.100.2.007246";0;0;86402,09;-86402,09
"   1.5.00.100.2.007250";0;0;200000;-200000
"   1.5.00.100.2.007258";67520,35;0;0;67520,35
"   1.5.00.100.2.007259";122560,56;0;0;122560,56
"   1.5.00.100.2.007260";158506,54;0;0;158506,54
"   1.5.00.100.2.007261";97976,49;0;0;97976,49
"   1.5.00.100.2.007262";153311,29;0;0;153311,29
"   1.5.00.100.2.007263";138134,66;0;0;138134,66
"   1.5.00.100.2.007264";79926,78;0;0;79926,78
"   1.5.00.100.2.007270";0;0;40000;-40000
"   1.5.00.100.2.007271";0;0;71291,5;-71291,5
"   1.5.00.100.2.007272";0;0;782699,94;-782699,94
"   1.5.00.100.2.007273";0;0;434714,47;-434714,47
"   1.5.00.100.2.007281";25000;0;0;25000
"   1.5.00.100.2.007283";0;0;70697,5;-70697,5
"   1.5.00.100.2.007285";776083,56;0;776083,56;0
"   1.5.00.100.2.007286";144000;0;144000;0
"   1.5.00.100.2.007289";1119885,45;278574047,42;1119885,45;-278574047,42
"   1.5.00.100.2.007322";152447,41;0;0;152447,41
"   1.5.00.100.2.007330";0;0;42963,83;-42963,83
"   1.5.00.100.2.007334";279,31;0;0;279,31
"   1.5.00.100.2.007348";167000;0;0;167000
"   1.5.00.100.2.007382";2394254,15;0;2394254,15;0
"   1.5.00.100.2.007394";18864,26;0;0;18864,26
"   1.5.00.100.2.007400";9695,77;0;0;9695,77
"   1.5.00.100.2.007457";100,43;0;0;100,43
"   1.5.00.100.2.007461";73,91;0;32270;-32196,09
"   1.5.00.100.2.007462";17493,17;0;0;17493,17
"   1.5.00.100.2.007472";40557,2;0;40557,2;0
"   1.5.00.100.2.007480";54000;0;0;54000
"   1.5.00.100.2.007481";1017736,01;0;0;1017736,01
"   1.5.00.100.2.007486";12379,77;0;0;12379,77
"   1.5.00.100.2.007520";0;0;260515;-260515
"   1.5.00.100.2.007596";0;0;214000;-214000
"   1.5.00.100.2.007602";1716,05;0;0;1716,05
"   1.5.00.100.2.007611";0;0;434292,48;-434292,48
"   1.5.00.100.2.007612";0;0;224187,38;-224187,38
"   1.5.00.100.2.007617";0;0;434292,48;-434292,48
"   1.5.00.100.2.007622";0;0;66943,02;-66943,02
"   1.5.00.100.2.007633";0;0;129519,6;-129519,6
"   1.5.00.100.2.007634";0;0;53970;-53970
"   1.5.00.100.2.007755";13998,31;0;187525,68;-173527,37
"   1.5.00.100.2.007809";0;0;42077,88;-42077,88
"   1.5.00.100.2.007830";0;0;217212,48;-217212,48
"   1.5.00.100.2.007838";0;0;79976,3;-79976,3
"   1.5.00.100.2.007855";41036,82;0;0;41036,82
"   1.5.00.100.2.007882";11180754,46;0;11180754,46;0
"   1.5.00.100.2.007886";185493,74;0;185493,74;0
"   1.5.00.100.2.007887";15859,58;0;0;15859,58
"   1.5.00.100.2.007919";1250000;0;1250000;0
"   1.5.00.100.2.007921";162680,68;0;150000;12680,68
"   1.5.00.100.2.007926";0;0;650875,25;-650875,25
"   1.5.00.100.2.007941";0;0;488641,66;-488641,66
"   1.5.00.100.2.007953";30497,51;0;30497,51;0
"   1.5.00.100.2.007962";0;0;60000;-60000
"   1.5.00.100.2.007963";0;0;116634,09;-116634,09
"   1.5.00.100.2.007964";0;0;127875,06;-127875,06
"   1.5.00.100.2.007965";0;0;174861,81;-174861,81
"   1.5.00.100.2.007966";0;0;135355;-135355
"   1.5.00.100.2.007967";15685;0;0;15685
"   1.5.00.100.2.007972";13243,2;0;13243,2;0
"   1.5.00.100.2.007973";45090;0;45090;0
"   1.5.00.100.2.007991";2065,44;0;2065,44;0
"   1.5.00.100.2.007994";763554,31;9236143,49;11667922,4;-20140511,58
"   1.5.00.100.2.008005";42229,5;0;0;42229,5
"   1.5.00.100.2.008006";50690,4;0;50690,4;0
"   1.5.00.100.2.008007";10289,77;0;10289,77;0
"   1.5.00.100.2.008008";28012,41;0;28012,41;0
"   1.5.00.100.2.008009";53470,31;0;53470,31;0
"   1.5.00.100.2.008010";27797,49;0;27773,07;24,42
"   1.5.00.100.2.008012";12658,24;0;12658,24;0
"   1.5.00.100.2.008013";10683,66;0;10683,66;0
"   1.5.00.100.2.008014";33084,78;0;26264,83;6819,95
"   1.5.00.100.2.160008";23895;0;23895;0
"   1.5.00.100.2.160009";35152,7;0;35152,7;0
"   1.5.00.100.2.160023";1643320,8;0;541500;1101820,8
"   1.5.00.100.2.160040";38029,56;0;1836,96;36192,6
"   1.5.00.100.2.160041";43078,4;0;43078,4;0
"   1.5.00.100.2.160043";78357,31;0;78357,31;0
"   1.5.00.100.2.160044";60655,29;0;19966,78;40688,51
"   1.5.00.100.2.160045";117540,84;0;58770,42;58770,42
"   1.5.00.100.2.160053";614,4;0;614,4;0
"   1.5.00.100.2.160058";0;0;281226,36;-281226,36
"   1.5.00.100.2.160061";0;0;23271,01;-23271,01
"   1.5.00.100.2.160062";0;0;483838,66;-483838,66
"   1.5.00.100.2.160065";0;0;72000;-72000
"   1.5.00.100.2.160067";0;0;1309475,79;-1309475,79
"   1.5.00.100.2.160068";0;0;63023,3;-63023,3
"   1.5.00.100.2.160069";0;0;176056,54;-176056,54
"   1.5.00.100.2.160071";0;0;33267,49;-33267,49
"   1.5.00.100.2.160073";0;0;259106,41;-259106,41
"   1.5.00.100.2.160079";0;0;51583,21;-51583,21
"   1.5.00.100.2.160080";0;0;26553,56;-26553,56
"   1.5.00.100.2.160081";0;0;25333,33;-25333,33
"   1.5.00.100.2.160082";0;0;66666,66;-66666,66
"   1.5.00.100.2.160087";0;0;206640,02;-206640,02
"   1.5.00.100.2.160089";0;0;59238,39;-59238,39
"   1.5.00.100.2.160094";0;0;25905,19;-25905,19
"   1.5.00.100.2.160095";0;0;236585,68;-236585,68
"   1.5.00.100.2.160096";0;0;16072,36;-16072,36
"   1.5.00.100.2.160100";0;0;77724,3;-77724,3
"   1.5.00.100.2.160101";0;0;242699,76;-242699,76
"   1.5.00.100.2.160105";0;0;26961,25;-26961,25
"   1.5.00.100.2.160107";0;0;23876,3;-23876,3
"   1.5.00.100.2.160108";0;0;98602,56;-98602,56
"   1.5.00.100.2.160109";0;0;144000;-144000
"   1.5.00.100.2.160110";0;0;13333,6;-13333,6
"   1.5.00.100.2.160113";0;0;8544,98;-8544,98
"   1.5.00.100.2.160118";0;0;24728,04;-24728,04
"   1.5.00.100.2.160121";0;0;27333,33;-27333,33
"   1.5.00.100.2.160123";0;0;8192,92;-8192,92
"   1.5.00.100.2.160127";0;0;11000;-11000
"   1.5.00.100.2.160128";0;0;179953,92;-179953,92
"   1.5.00.100.2.160131";0;0;243301,79;-243301,79
"   1.5.00.100.2.160133";0;0;25177,33;-25177,33
"   1.5.00.100.2.160135";0;0;151380,86;-151380,86
"   1.5.00.100.2.160138";0;0;171462,23;-171462,23
"   1.5.00.100.2.160142";0;0;40000;-40000
"   1.5.00.100.2.160145";0;0;31935,24;-31935,24
"   1.5.00.100.2.160146";0;0;89700;-89700
"   1.5.00.100.2.160147";0;0;26666,67;-26666,67
"   1.5.00.100.2.160148";0;0;157626,36;-157626,36
"   1.5.00.100.2.160149";0;0;167920,44;-167920,44
"   1.5.00.100.2.160150";0;0;69892,53;-69892,53
"   1.5.00.100.2.160151";0;0;96680,64;-96680,64
"   1.5.00.100.2.160153";0;0;61866,67;-61866,67
"   1.5.00.100.2.160154";0;0;33418,09;-33418,09
"   1.5.00.100.2.160156";0;0;26666,66;-26666,66
"   1.5.00.100.2.160157";0;0;84101,01;-84101,01
"   1.5.00.100.2.160160";0;0;15750;-15750
"   1.5.00.100.2.160162";0;0;16000;-16000
"   1.5.00.100.2.160164";0;0;39759,22;-39759,22
"   1.5.00.100.2.160171";48750;0;48750;0
"   1.5.00.100.2.160204";0;0;355096,9;-355096,9
"   1.5.00.100.2.160218";51100;0;51100;0
"   1.5.00.100.2.160219";11700;0;11700;0
"   1.5.00.100.2.160230";222359,65;0;222359,65;0
"   1.5.00.100.2.170004";2291,33;0;1980;311,33
"   1.5.00.100.2.170015";932,43;0;932,43;0
"   1.5.00.100.2.170023";2452,96;0;2452,96;0
"   1.5.00.100.2.170024";6867,09;0;6867,09;0
"   1.5.00.100.2.170026";4315,57;0;4315,57;0
"   1.5.00.100.2.170032";6867,09;0;6867,09;0
"   1.5.00.100.2.170047";1689,5;0;1689,5;0
"   1.5.00.100.2.170062";22900,43;0;22900,43;0
"   1.5.00.100.2.170068";195000;0;97500;97500
"   1.5.00.100.2.170090";241728,4;0;260555,68;-18827,28
"   1.5.00.100.2.180002";19535,29;0;19223,74;311,55
"   1.5.00.100.2.180003";29990,5;0;29990,5;0
"   1.5.00.100.2.180004";139829,38;0;139829,38;0
"   1.5.00.100.2.180005";4388,05;0;2134,3;2253,75
"   1.5.00.100.2.180006";38882,58;0;19938,33;18944,25
"   1.5.00.100.2.180007";3998,32;0;3998,32;0
"   1.5.00.100.2.180017";600397,15;0;300000;300397,15
"   1.5.00.100.2.180079";70000;0;70000;0
"   1.5.00.100.2.190009";14286;0;14286;0
"   1.5.00.100.2.190010";14286;0;14286;0
"   1.5.00.100.2.190021";42857,14;0;42857,14;0
"   1.5.00.100.2.190041";0;0;470750;-470750
"   1.5.00.100.2.200001";4277,45;0;4277,45;0
"   1.5.00.100.2.200002";31693,36;0;31693,36;0
"   1.5.00.100.2.200004";56524,53;0;56524,53;0
"   1.5.00.100.2.200005";56623,37;0;56623,37;0
"   1.5.00.100.2.200007";12174;0;12174;0
"   1.5.00.100.2.200008";26068,6;0;26068,6;0
"   1.5.00.100.2.200022";3000;0;3000;0
"   1.5.00.100.2.200023";0;0;5342006,13;-5342006,13
"   1.5.00.100.2.200024";9139,26;0;9139,26;0
"   1.5.00.100.2.200034";1747943,4;0;1325000;422943,4
"   1.5.00.100.2.200038";1177117,14;0;1177117,14;0
"   1.5.00.100.2.200042";0;0;963502,02;-963502,02
"   1.5.00.100.2.200045";6122,45;0;6122,45;0
"   1.5.00.100.2.200056";20098,21;0;20098,21;0
"   1.5.00.100.2.200057";290628,08;0;136022,67;154605,41
"   1.5.00.100.2.200058";62208,55;0;62208,55;0
"   1.5.00.100.2.210068";33850,13;0;0;33850,13
"   1.5.00.100.2.210075";136051,23;0;136051,23;0
"   1.5.00.100.2.210076";168468,2;0;168468,2;0
"   1.5.00.100.2.210077";34468,97;0;34468,97;0
"   1.5.00.100.2.210080";39233,4;0;39233,4;0
"   1.5.00.100.2.210081";15989,64;0;15989,64;0
"   1.5.00.100.2.210092";5342,66;0;0;5342,66
"   1.5.00.100.2.210093";0;0;21000;-21000
"   1.5.00.100.2.210135";891314,38;0;599669,26;291645,12
"   1.5.00.100.2.210136";19500,79;0;16493,77;3007,02
"   1.5.00.100.2.210138";0;0;3309749,91;-3309749,91
"   1.5.00.100.2.210139";2878,56;0;0;2878,56
"   1.5.00.100.2.210140";54059,96;0;54059,96;0
"   1.5.00.100.2.210141";4780,02;0;4780,02;0
"   1.5.00.100.2.210156";0;116390,12;0;-116390,12
"   1.5.00.100.2.220001";416473;0;0;416473
"   1.5.00.100.2.220015";0;2002146;0;-2002146
"   1.5.00.100.2.220019";256458,38;0;0;256458,38
"   1.5.00.100.2.220120";0;0;0;0
"   1.5.00.100.2.230005";12255,02;0;0;12255,02
"   1.5.00.100.2.230022";2580;2580;0;0
"   1.5.00.100.2.230029";0;0;0;0
"   1.5.00.100.2.230069";0;24202933,34;0;-24202933,34
"   1.5.00.100.2.230081";0;0;0;0
"   1.5.00.100.2.230082";0;0;0;0
"   1.5.00.100.2.230095";0;3399249,48;0;-3399249,48
"   1.5.00.100.2.230099";0;15320777,79;0;-15320777,79
"   1.5.00.100.2.230102";0;6299434,91;0;-6299434,91
"   1.5.00.100.2.230103";0;14262696,41;0;-14262696,41
"   1.5.00.100.2.230104";0;14107223,91;0;-14107223,91
"   1.5.00.100.2.230105";0;6669517,37;0;-6669517,37
"   1.5.00.100.2.230106";0;6730486,4;0;-6730486,4
"   1.5.00.100.2.230107";0;7547376,54;0;-7547376,54
"   1.5.00.100.2.230125";72121,14;196502,86;0;-124381,72
"   1.5.00.100.2.240013";0;17673319,65;0;-17673319,65
"   1.5.00.100.2.240095";775956,61;13641833,47;775956,61;-13641833,47
"   1.5.00.100.2.240102";3983,19;2612590,3;3983,19;-2612590,3
"   1.5.00.100.2.240119";0;579437,06;0;-579437,06
"   1.5.00.100.2.240139";0;9239566,35;0;-9239566,35
"   1.5.00.100.2.240141";0;8996891,05;0;-8996891,05
"   1.5.00.100.2.240156";0;1200000;0;-1200000
"   1.5.00.100.2.240163";0;3999911,2;0;-3999911,2
"   1.5.00.100.2.240169";0;13542628,39;0;-13542628,39
"   1.5.00.100.2.240187";0;6000000;0;-6000000
"   1.5.00.100.2.240198";0;0;0;0
"   1.5.00.100.2.240200";0;0;0;0
"   1.5.00.100.2.240201";0;0;0;0
"   1.5.00.100.2.240208";0;0;0;0
"   1.5.00.100.2.240210";0;0;0;0
"   1.5.00.100.2.250009";0;213000;0;-213000
"   1.5.00.100.2.250013";0;2000000;0;-2000000
"   1.5.00.100.2.250014";975000;0;975000;0
"   1.5.00.100.2.250021";856514,93;14994719,88;856514,93;-14994719,88
"   1.5.00.100.2.250022";0;100000;0;-100000
"   1.5.00.100.2.250071";0;14999933,84;0;-14999933,84
"   1.5.00.100.2.250072";0;0;0;0
"   1.5.00.100.2.250080";0;185567,78;0;-185567,78
"   1.5.00.100.3.121178";761542,95;0;0;761542,95
"   1.5.00.100.3.211018";4530;102875,02;230840,61;-329185,63
"   1.5.00.100.3.211032";98998,78;0;4075,42;94923,36
"   1.5.00.107.0.000000";15004804473,9;10308143173,63;4721778836,19;-25117535,92
"   1.5.00.107.1.007526";1133323109,15;0;0;1133323109,15
"   1.5.00.148.0.000000";354106918,56;240292335,49;96039,26;113718543,81
"   1.5.00.148.1.000003";0;14709,92;0;-14709,92
"   1.5.00.148.1.000004";0;1903015;0;-1903015
"   1.5.00.148.1.000006";0;272,64;0;-272,64
"   1.5.00.148.1.000007";0;161904,96;0;-161904,96
"   1.5.00.148.1.000011";0;149750;0;-149750
"   1.5.00.148.1.000013";0;100000;0;-100000
"   1.5.00.148.1.000014";0;33000;0;-33000
"   1.5.00.148.1.000015";0;61727,2;0;-61727,2
"   1.5.00.148.1.000016";0;0;0;0
"   1.5.00.148.1.000019";0;14200;0;-14200
"   1.5.00.148.1.000021";0;80695,21;0;-80695,21
"   1.5.00.148.1.000022";0;60188,66;0;-60188,66
"   1.5.00.148.1.000024";0;37447,88;0;-37447,88
